date,open,high,low,close,volume
2022-10-03,56.36,56.85,56.06,56.65,16277620
2022-10-04,56.95,57.81,56.46,56.78,18861431
2022-10-05,56.5,56.65,55.51,56.24,14324851
2022-10-06,56.0,56.1,54.87,55.03,17192843
2022-10-07,54.99,55.09,54.25,54.51,11479799
2022-10-10,54.6,54.96,54.015,54.39,10239123
2022-10-11,54.46,55.22,54.24,54.48,14303920
2022-10-12,55.23,56.0365,55.04,55.14,18377448
2022-10-13,54.48,56.08,54.26,55.87,16220718
2022-10-14,56.29,56.47,54.94,54.98,16001400
2022-10-17,55.63,56.215,55.57,55.69,13721426
2022-10-18,56.31,56.78,56.1009,56.44,11823119
2022-10-19,56.31,56.54,55.73,55.96,10182286
2022-10-20,55.77,55.92,54.96,55.08,16905147
2022-10-21,55.0,56.105,54.985,55.96,15034054
2022-10-24,56.64,57.73,56.57,57.57,17416681
2022-10-25,59.04,59.11,57.75,58.95,28829930
2022-10-26,59.01,59.78,58.86,59.39,15841374
2022-10-27,59.77,59.84,59.375,59.53,16026117
2022-10-28,59.57,60.91,59.47,60.76,12888859
2022-10-31,60.51,60.57,59.67,59.85,14016378
2022-11-01,60.03,60.29,59.37,59.64,10659459
2022-11-02,59.64,60.23,58.77,58.81,14551132
2022-11-03,58.11,58.9972,58.1,58.78,9193970
2022-11-04,59.3,59.585,58.56,59.26,9726126
2022-11-07,59.26,59.77,59.24,59.49,8849704
2022-11-08,59.75,59.79,58.94,59.6,10081649
2022-11-09,59.59,59.64,58.751,58.77,10115159
2022-11-10,60.25,61.04,59.68,60.88,16804845
2022-11-11,61.37,61.45,60.21,61.32,18972078
2022-11-14,61.32,61.715,60.71,60.73,16361026
2022-11-15,61.13,61.45,60.0,60.63,13295839
2022-11-16,60.79,61.03,60.285,60.52,14199486
2022-11-17,60.19,60.74,60.13,60.71,11220301
2022-11-18,60.99,61.37,60.8,61.14,10415640
2022-11-21,61.41,62.21,61.2,62.08,15399353
2022-11-22,62.47,62.5,62.0538,62.35,12319641
2022-11-23,62.49,62.79,62.3008,62.63,8990385
2022-11-25,62.73,62.81,62.38,62.69,5165499
2022-11-28,62.69,63.1,62.56,62.7,12268004
2022-11-29,62.52,62.57,61.98,62.04,10969563
2022-11-30,62.01,63.68,61.75,63.61,30433938
2022-12-01,63.61,64.11,63.43,63.79,12001356
2022-12-02,63.61,64.52,63.4,64.35,13643450
2022-12-05,63.41,63.795,63.26,63.47,9185090
2022-12-06,63.52,63.88,63.225,63.44,10099529
2022-12-07,63.45,63.72,63.25,63.54,12307605
2022-12-08,63.6,63.85,63.345,63.81,9946173
2022-12-09,63.61,63.84,63.09,63.14,13914856
2022-12-12,63.3,64.005,63.01,63.97,11647900
2022-12-13,64.59,64.7,63.8,63.99,17521554
2022-12-14,64.19,64.65,63.57,63.99,12826650
2022-12-15,63.59,63.89,62.49,63.11,12213292
2022-12-16,62.75,63.14,62.325,62.75,33631530
2022-12-19,62.83,63.405,62.47,62.84,10919725
2022-12-20,62.8219,63.15,62.75,62.79,10286479
